match_id,match_date,x,y,xg,is_goal,shot_outcome,shot_body_part,shot_technique,n_defenders_in_cone,n_defenders_closer,dist_nearest_defender,gk_dist_center_goal,gk_dist_to_shooter,n_defenders_total,team_ratio_cone
3773497,2021-04-10,101.0,27.2,0.068962805,1,Goal,Right Foot,Normal,3,10,8.104319835741926,1.8110770276274808,21.32135080148535,10,0.3333333333333333
3773497,2021-04-10,107.3,53.4,0.09082136,0,Post,Right Foot,Normal,0,3,4.884669896727927,4.7010637094172685,13.78876354137672,4,0.0
3773497,2021-04-10,105.9,42.4,0.15830496,0,Saved,Right Foot,Half Volley,0,2,1.3038404810405324,5.522680508593628,10.084145972763386,4,0.0
3773497,2021-04-10,96.2,47.9,0.027073873,0,Blocked,Right Foot,Volley,1,9,6.661080993352348,1.4317821063276401,23.65417510715602,9,1.0
3773497,2021-04-10,108.6,41.4,0.1361084,0,Blocked,Right Foot,Half Volley,0,3,2.4351591323771964,2.1023796041628584,9.42019108086456,7,1.0
3773497,2021-04-10,93.8,41.8,0.040328264,0,Off T,Right Foot,Normal,0,4,9.972462083156799,2.6925824035672474,23.625621684941972,5,0.0
3773497,2021-04-10,101.3,30.6,0.104605675,0,Off T,Left Foot,Normal,0,2,2.5495097567963967,2.4698178070456875,18.470787747142793,4,0.0
3773497,2021-04-10,112.2,43.1,0.16597773,0,Wayward,Head,Normal,1,2,6.328506932918692,2.3409399821439267,6.824221567329121,6,1.0
3773497,2021-04-10,103.6,40.4,0.15727945,0,Blocked,Right Foot,Normal,0,6,3.2893768406797097,2.9410882339705453,13.609188072769081,9,0.0
3773497,2021-04-10,102.2,29.5,0.045265324,0,Off T,Left Foot,Half Volley,1,7,5.303772242470448,2.69072480941474,18.036906608396016,9,1.0
3773497,2021-04-10,102.3,49.2,0.04911825,0,Off T,Right Foot,Half Volley,0,6,4.031128874149275,3.3970575502926037,16.692812824685962,7,0.0
3773660,2020-12-13,109.3,39.0,0.4531274,0,Saved,Left Foot,Normal,0,0,1.523154621172778,3.1622776601683795,7.700000000000003,6,0.0
3773660,2020-12-13,111.6,49.1,0.15519324,0,Off T,Right Foot,Half Volley,0,0,0.921954445729281,4.272001872658765,8.213403679352435,6,0.0
3773660,2020-12-13,100.2,57.3,0.025486808,0,Off T,Right Foot,Normal,0,5,2.4698178070456906,3.580502757993637,22.729936207565554,9,0.0
3773660,2020-12-13,94.7,45.3,0.03797323,0,Saved,Right Foot,Normal,0,9,3.6345563690772438,2.024845673131665,23.84785105622726,10,0.0
3773660,2020-12-13,57.9,20.6,0.004744799,0,Saved,Left Foot,Normal,0,6,5.0803543183522155,5.922837157984336,59.9503961621606,8,0.0
3773660,2020-12-13,97.6,49.2,0.044519193,0,Blocked,Right Foot,Normal,1,5,3.9293765408776973,3.9204591567825267,20.462893246068614,8,0.0
3773660,2020-12-13,99.6,51.1,0.01992774,0,Saved,Right Foot,Volley,3,10,8.429116205154614,1.8384776310850195,21.46741717114568,10,0.0
3773593,2020-09-27,102.8,45.5,0.025156217,0,Blocked,Right Foot,Normal,4,8,1.6155494421403518,2.5298221281347013,16.69041641182149,10,0.5
3773593,2020-09-27,104.3,34.8,0.08608912,0,Blocked,Left Foot,Normal,1,4,2.9832867780352657,1.3038404810405264,15.277761616153077,10,0.0
3773593,2020-09-27,110.9,32.1,0.03460866,0,Off T,Head,Normal,2,6,0.848528137423854,2.5999999999999988,9.790812019439446,9,0.0
3773593,2020-09-27,107.2,58.8,0.0110668205,0,Off T,Right Foot,Normal,1,7,11.985407794480755,2.5298221281347013,20.32141727340886,10,0.0
3773593,2020-09-27,107.6,56.5,0.02559387,0,Saved,Left Foot,Normal,0,6,2.4041630560342657,1.835755975068586,18.82179587605816,10,0.0
3773466,2020-10-01,100.9,20.7,0.011488415,0,Saved,Left Foot,Normal,0,6,5.126402247190518,3.1622776601683795,24.357750306627246,8,0.0
3773466,2020-10-01,99.0,56.1,0.04606585,0,Blocked,Left Foot,Normal,3,10,7.202777242147645,1.2727922061357886,26.325083095785278,10,0.0
3773466,2020-10-01,102.4,33.5,0.07217433,0,Blocked,Right Foot,Normal,2,7,4.428317965096902,1.1704699910719567,17.884630272946655,9,0.0
3773466,2020-10-01,105.4,18.7,0.007613767,0,Blocked,Right Foot,Normal,1,6,3.5171010790137984,2.3323807579381217,23.495744295510193,7,0.0
3773466,2020-10-01,114.1,26.1,0.039158177,0,Saved,Right Foot,Normal,0,5,4.785394445602157,3.3241540277189343,11.778370006074693,8,0.0
3773466,2020-10-01,110.6,37.2,0.12407055,0,Blocked,Left Foot,Normal,2,4,2.745906043549199,4.741307836451884,5.234500931320962,8,0.0
3773466,2020-10-01,98.8,37.5,0.061612327,0,Off T,Right Foot,Normal,1,3,3.125699921617557,2.5317977802344322,18.923530326025322,8,1.0
3773466,2020-10-01,112.6,15.7,0.0078124246,0,Saved,Right Foot,Normal,1,9,8.852683209061537,1.2999999999999972,24.161125801584664,9,0.0
3773466,2020-10-01,106.6,28.1,0.044369835,0,Blocked,Left Foot,Normal,1,4,1.562049935181333,1.9723082923316044,16.056151469141042,8,0.0
3773466,2020-10-01,115.7,29.7,0.051826213,0,Off T,Head,Normal,0,7,3.4058772731852827,0.5999999999999943,10.944404963267763,9,0.0
3773585,2020-10-24,109.9,49.3,0.31214735,1,Goal,Right Foot,Normal,0,1,1.2727922061357886,5.280151512977638,8.580209787645046,5,0.0
3773585,2020-10-24,107.6,37.9,0.1424742,0,Off T,Right Foot,Half Volley,1,2,2.4515301344262515,1.9026297590440506,10.72800074571213,6,0.0
3773585,2020-10-24,94.3,31.8,0.037000425,0,Saved,Left Foot,Normal,1,2,1.4035668847618217,4.936598018878999,22.14497685706625,7,0.0
3773585,2020-10-24,113.6,37.8,0.10819121,0,Blocked,Head,Normal,1,2,1.0999999999999943,5.5009090157900316,1.5297058540778348,9,1.0
3773585,2020-10-24,113.2,36.5,0.102099925,0,Saved,Head,Normal,0,6,0.5099019513592773,0.943398113205658,6.708203932499369,10,0.0
3773585,2020-10-24,106.6,39.8,0.27210635,0,Saved,Right Foot,Normal,0,0,1.2041594578792183,3.2984845004941303,10.217631819555844,6,0.0
3773585,2020-10-24,102.7,40.2,0.029511923,0,Blocked,Right Foot,Normal,2,5,1.2999999999999972,2.5,14.801351289662708,6,0.0
3773585,2020-10-24,112.3,44.1,0.08104959,0,Off T,Head,Normal,1,1,0.5099019513592787,1.7720045146669376,6.997142273814361,9,0.0
3773585,2020-10-24,85.3,43.7,0.018411724,0,Off T,Right Foot,Normal,0,9,2.360084744241197,2.630589287593175,32.26918034285966,9,0.0
3773585,2020-10-24,102.8,26.8,0.06166864,0,Off T,Right Foot,Normal,0,3,4.579301256742126,2.475883680627989,19.220041623263985,7,0.0
