distance_to_goal,angle_to_goal,is_header,is_penalty,is_freekick,is_open_play,x_norm,y_center_dist,distance_sq,n_defenders_in_cone,n_defenders_closer,dist_nearest_defender,gk_dist_center_goal,gk_dist_to_shooter,n_defenders_total,team_ratio_cone,is_goal,xg_statsbomb,xg_xgboost,xg_logreg
19.747404892795412,19.332893871561808,0,0,0,1,0.8633333333333333,11.0,389.9600000000002,0,2,6.5253352404301745,4.114608122288198,15.68215546409358,5,0.0,0,0.096383646,0.095583715,0.10288548253912512
35.36240942017384,12.885082921935597,0,0,1,0,0.7058333333333333,2.1000000000000014,1250.4999999999995,2,9,4.494441010848853,1.0,34.364225584174015,10,0.0,0,0.017764185,0.034541704,0.08366922933810454
14.200352108310561,30.00345395305672,1,0,0,1,0.8883333333333333,4.700000000000003,201.6500000000002,0,2,2.7202941017470916,1.8788294228055948,12.332882874656685,8,0.0,0,0.03818405,0.011429605,0.0776372092367396
21.817882573705457,18.1947304756549,0,0,0,1,0.8424999999999999,10.899999999999999,476.02000000000027,1,4,3.190611226708761,3.400000000000001,18.420097719610506,7,0.0,0,0.04283516,0.0031586061,0.03694946398803271
28.40792143047429,15.488801314166656,0,0,0,1,0.7716666666666666,7.5,807.0100000000003,1,4,2.9120439557122175,1.9235384061671397,26.49698096010185,5,0.0,0,0.025733665,0.04824984,0.03144398558729462
18.638937737972086,14.222806493371017,0,0,0,1,0.9125,15.399999999999999,347.40999999999997,0,3,1.920937271229852,4.304648650006181,14.34503398392628,6,0.0,0,0.058749907,0.0824444,0.06215251743816595
26.549764594059962,13.579566976204172,0,0,0,1,0.8266666666666667,16.5,704.8899999999999,1,7,0.7999999999999972,3.764306044943745,22.88055943372014,9,1.0,0,0.024455013,0.0011278023,0.0030569222093953614
16.51696097955069,26.49271933663407,0,0,0,1,0.8666666666666667,4.100000000000001,272.81000000000006,0,4,1.513274595042156,2.5079872407968877,14.046351839534708,9,1.0,0,0.09590488,0.00036735536,0.015773638685337158
11.768602295939825,30.166203083668357,0,0,0,1,0.9258333333333333,7.700000000000003,138.5000000000001,0,1,1.3928388277184094,3.4409301068170484,8.462860036654282,9,0.0,0,0.1629772,0.032398686,0.11274185076482762
27.08449741088064,12.204262101741614,0,0,0,1,0.8383333333333333,18.9,733.5700000000002,0,5,1.9209372712298562,4.0607881008493925,23.05211487044085,8,0.0,0,0.011698737,0.019166993,0.014331135058074226
23.05211487044085,14.114687807027178,0,0,0,1,0.865,16.4,531.4000000000002,1,4,2.5,4.601086828130931,18.45562244954096,8,0.0,0,0.028624984,0.006029637,0.026469974904474506
22.925967809451357,19.69369981930899,0,0,0,1,0.81,2.3999999999999986,525.5999999999999,1,3,4.052159917870959,2.9120439557122038,20.254382241875458,7,0.0,1,0.051378094,0.005026916,0.04819954239966097
20.000249998437514,20.135821183045312,0,0,0,1,0.8533333333333334,9.5,400.00999999999976,0,4,4.8259714048054585,3.4205262752974126,16.926015479137433,8,1.0,0,0.07740248,0.010186837,0.013531533197415353
12.609916732476858,35.17793505713058,0,0,0,1,0.895,0.5,159.00999999999985,0,0,3.244996147917591,2.0999999999999943,10.51189802081432,5,0.0,0,0.25516874,0.0098548895,0.27723039652223935
8.683893136145787,43.713390864605934,0,0,0,1,0.9408333333333334,5.0,75.40999999999993,0,1,1.2041594578792318,1.1401754250991385,8.704596486914248,7,0.0,1,0.3457039,0.98228145,0.20290278224149283
7.083784299369935,47.72782796433444,0,0,0,1,0.9608333333333333,5.299999999999997,50.18,1,2,0.7071067811865476,5.374011537017757,1.749285568453593,8,0.0,0,0.10217343,0.096253276,0.26472344350160737
9.682974749528164,31.686367692935242,1,0,0,1,0.95,7.600000000000001,93.76,0,1,2.308679276123043,2.9206163733020425,6.8796802251267515,7,0.0,0,0.1273561,0.23191108,0.1605426171885297
8.640023148117136,48.546382142156965,0,0,0,1,0.9308333333333334,2.3999999999999986,74.64999999999993,0,0,1.772004514666931,3.4058772731852778,5.703507692639682,7,0.0,1,0.44097158,0.98564976,0.3415955956825668
13.514806694880987,30.560110904378515,0,0,0,1,0.8975000000000001,5.600000000000001,182.64999999999995,0,0,1.5811388300841964,8.234682750416072,5.280151512977633,8,0.0,0,0.3704533,0.007238076,0.26907620629327944
26.206869328479506,13.802877118818762,0,0,0,1,0.8283333333333334,16.200000000000003,686.7999999999998,0,5,0.9219544457292933,3.5846896657869776,22.66296538407982,7,0.0,0,0.02668288,0.0018155385,0.01950702638566927
4.390899680020029,83.84190922375343,1,0,0,1,0.9683333333333334,2.200000000000003,19.27999999999999,1,2,0.31622776601683567,1.4142135623730951,3.0463092423455618,10,0.0,1,0.1947324,0.9804089,0.27663761886058236
9.848857801796104,41.63353933954405,1,0,0,1,0.925,4.0,96.99999999999999,0,5,0.7071067811865496,1.5297058540778348,8.36301381082203,9,0.0,0,0.091646455,0.004882896,0.0566508361403966
23.672980378482137,18.598656914700857,0,0,0,1,0.8091666666666666,6.0,560.4100000000003,1,4,1.9723082923316044,3.3955853692699254,20.27806696901853,8,0.0,0,0.041051574,0.014011562,0.030143641362413952
20.011246837716033,22.392501938722074,0,0,0,1,0.8350000000000001,2.8999999999999986,400.44999999999993,1,4,1.208304597359465,2.4351591323771804,17.62554963681984,7,0.0,0,0.057224557,0.0017989735,0.046960139729192996
6.896375859826661,59.13208777661579,1,0,0,1,0.9450000000000001,2.0,47.559999999999924,0,0,1.4317821063276333,1.697056274847718,5.458937625582464,8,0.0,0,0.22981732,0.6538186,0.30326239471072564
